data,codigo,designacao,preco_medio_ponderado
2018-01-24, 1141, GNC (gás natural comprimido) - €/m3, 0.9150
2018-01-24, 1142, GNL (gás natural liquefeito) - €/kg, 1.0487
2018-01-24, 1143, GNC (gás natural comprimido) - €/kg, 0.9990
2018-01-25, 3200, Gasolina 95, 1.5491
2018-01-25, 3400, Gasolina 98, 1.5732
2018-01-25, 2100, Gasóleo, 1.3466
2018-01-25, 1120, GPL Auto, 0.7010
2018-01-25, 1450, Gasolina aditivada, 1.5992
2018-01-25, 2105, Gasóleo especial, 1.3718
2018-01-25, 2150, Gasóleo colorido, 0.8644
2018-01-25, 2155, Gasóleo de aquecimento, 1.1176
2018-01-25, 3205, Gasolina especial 95, 1.5510
2018-01-25, 3405, Gasolina especial 98, 1.7020
2018-01-25, 3210, Gasolina de mistura (motores a 2 tempos), 1.8678
2018-01-25, 2101, Gasóleo simples, 1.3186
2018-01-25, 3201, Gasolina simples 95, 1.5116
2018-01-25, 1141, GNC (gás natural comprimido) - €/m3, 0.9150
2018-01-25, 1142, GNL (gás natural liquefeito) - €/kg, 1.0487
2018-01-25, 1143, GNC (gás natural comprimido) - €/kg, 0.9990
2018-01-26, 3200, Gasolina 95, 1.5491
2018-01-26, 3400, Gasolina 98, 1.5722
2018-01-26, 2100, Gasóleo, 1.3464
2018-01-26, 1120, GPL Auto, 0.7009
2018-01-26, 1450, Gasolina aditivada, 1.5992
2018-01-26, 2105, Gasóleo especial, 1.3698
2018-01-26, 2150, Gasóleo colorido, 0.8642
2018-01-26, 2155, Gasóleo de aquecimento, 1.1175
2018-01-26, 3205, Gasolina especial 95, 1.5508
2018-01-26, 3405, Gasolina especial 98, 1.7010
2018-01-26, 3210, Gasolina de mistura (motores a 2 tempos), 1.8737
2018-01-26, 2101, Gasóleo simples, 1.3156
2018-01-26, 3201, Gasolina simples 95, 1.5087
2018-01-26, 1141, GNC (gás natural comprimido) - €/m3, 0.9150
2018-01-26, 1142, GNL (gás natural liquefeito) - €/kg, 1.0487
2018-01-26, 1143, GNC (gás natural comprimido) - €/kg, 0.9990
2018-01-27, 3200, Gasolina 95, 1.5477
2018-01-27, 3400, Gasolina 98, 1.5718
2018-01-27, 2100, Gasóleo, 1.3440
2018-01-27, 1120, GPL Auto, 0.6998
2018-01-27, 1450, Gasolina aditivada, 1.5992
2018-01-27, 2105, Gasóleo especial, 1.3634
2018-01-27, 2150, Gasóleo colorido, 0.8634
2018-01-27, 2155, Gasóleo de aquecimento, 1.1175
2018-01-27, 3205, Gasolina especial 95, 1.5434
2018-01-27, 3405, Gasolina especial 98, 1.6959
2018-01-27, 3210, Gasolina de mistura (motores a 2 tempos), 1.8738
2018-01-27, 2101, Gasóleo simples, 1.3117
2018-01-27, 3201, Gasolina simples 95, 1.5055
2018-01-27, 1141, GNC (gás natural comprimido) - €/m3, 0.9150
2018-01-27, 1142, GNL (gás natural liquefeito) - €/kg, 1.0487
2018-01-27, 1143, GNC (gás natural comprimido) - €/kg, 0.9990
2018-01-28, 3200, Gasolina 95, 1.5476
2018-01-28, 3400, Gasolina 98, 1.5732
2018-01-28, 2100, Gasóleo, 1.3436
2018-01-28, 1120, GPL Auto, 0.7001
2018-01-28, 1450, Gasolina aditivada, 1.5992
2018-01-28, 2105, Gasóleo especial, 1.3657
2018-01-28, 2150, Gasóleo colorido, 0.8634
2018-01-28, 2155, Gasóleo de aquecimento, 1.1174
2018-01-28, 3205, Gasolina especial 95, 1.5452
2018-01-28, 3405, Gasolina especial 98, 1.6966
2018-01-28, 3210, Gasolina de mistura (motores a 2 tempos), 1.8740
2018-01-28, 2101, Gasóleo simples, 1.3123
2018-01-28, 3201, Gasolina simples 95, 1.5061
2018-01-28, 1141, GNC (gás natural comprimido) - €/m3, 0.9150
2018-01-28, 1142, GNL (gás natural liquefeito) - €/kg, 1.0487
2018-01-28, 1143, GNC (gás natural comprimido) - €/kg, 0.9990
2018-01-29, 3200, Gasolina 95, 1.5541
2018-01-29, 3400, Gasolina 98, 1.5756
2018-01-29, 2100, Gasóleo, 1.3472
2018-01-29, 1120, GPL Auto, 0.6991
2018-01-29, 1450, Gasolina aditivada, 1.6007
2018-01-29, 2105, Gasóleo especial, 1.3738
2018-01-29, 2150, Gasóleo colorido, 0.8649
2018-01-29, 2155, Gasóleo de aquecimento, 1.1187
2018-01-29, 3205, Gasolina especial 95, 1.5601
2018-01-29, 3405, Gasolina especial 98, 1.7067
2018-01-29, 3210, Gasolina de mistura (motores a 2 tempos), 1.8761
2018-01-29, 2101, Gasóleo simples, 1.3197
2018-01-29, 3201, Gasolina simples 95, 1.5171
2018-01-29, 1141, GNC (gás natural comprimido) - €/m3, 0.9150
2018-01-29, 1142, GNL (gás natural liquefeito) - €/kg, 1.0487
2018-01-29, 1143, GNC (gás natural comprimido) - €/kg, 0.9990
2018-01-30, 3200, Gasolina 95, 1.5492
2018-01-30, 3400, Gasolina 98, 1.5793
2018-01-30, 2100, Gasóleo, 1.3488
2018-01-30, 1120, GPL Auto, 0.6989
2018-01-30, 1450, Gasolina aditivada, 1.6041
2018-01-30, 2105, Gasóleo especial, 1.3745
2018-01-30, 2150, Gasóleo colorido, 0.8653
2018-01-30, 2155, Gasóleo de aquecimento, 1.1180
2018-01-30, 3205, Gasolina especial 95, 1.5611
2018-01-30, 3405, Gasolina especial 98, 1.7095
2018-01-30, 3210, Gasolina de mistura (motores a 2 tempos), 1.8760
2018-01-30, 2101, Gasóleo simples, 1.3209
2018-01-30, 3201, Gasolina simples 95, 1.5190
2018-01-30, 1141, GNC (gás natural comprimido) - €/m3, 0.9150
2018-01-30, 1142, GNL (gás natural liquefeito) - €/kg, 1.0487
2018-01-30, 1143, GNC (gás natural comprimido) - €/kg, 0.9990
2018-01-31, 3200, Gasolina 95, 1.5495
2018-01-31, 3400, Gasolina 98, 1.5795
2018-01-31, 2100, Gasóleo, 1.3487
2018-01-31, 1120, GPL Auto, 0.6856
